,departures_scheduled,departures_performed,payload,seats,passengers,freight,mail,distance,ramp_to_ramp,air_time,unique_carrier,unique_carrier_name,origin_airport_id,origin,dest_airport_id,dest,aircraft_type,year,quarter,month,seats_v1,passengers_v1,null_seats,null_seats_prop,day_per_departures_perf,distance_grouped,is_overbooked,distance_per_departures
10,0.0,0.0,0.0,0,0,0.0,0.0,1246.0,0.0,0.0,DL,Delta Air Lines Inc.,11259,DAL  ,12892,LAX  ,655,2013,2,4,0,0,0,0.0,0.0,0,0,0.0
11,43.0,43.0,1608200.0,6450,5731,0.0,0.0,899.0,6217.0,5260.0,B6,JetBlue Airways,11697,FLL  ,11278,DCA  ,694,2012,2,6,150,133,17,0.11,1.43,1,0,20.91
12,2.0,2.0,52400.0,200,175,0.0,0.0,1105.0,278.0,243.0,B6,JetBlue Airways,10423,AUS  ,11697,FLL  ,678,2016,1,2,100,88,12,0.12,0.07,3,0,552.5
13,0.0,0.0,0.0,0,0,0.0,0.0,651.0,0.0,0.0,DL,Delta Air Lines Inc.,13342,MKE  ,11057,CLT  ,655,2013,2,4,0,0,0,0.0,0.0,0,0,0.0
14,47.0,47.0,1757800.0,7050,4818,930.0,0.0,266.0,3718.0,2566.0,B6,JetBlue Airways,10785,BTV  ,12478,JFK  ,694,2012,2,6,150,103,47,0.31,1.57,0,1,5.66
15,47.0,47.0,1544890.0,7003,3950,2273.0,0.0,192.0,3022.0,1813.0,DL,Delta Air Lines Inc.,10868,CAE  ,10397,ATL  ,655,2012,3,8,149,84,65,0.44,1.57,0,1,4.09
16,0.0,0.0,0.0,0,0,0.0,0.0,528.0,0.0,0.0,DL,Delta Air Lines Inc.,13487,MSP  ,11433,DTW  ,655,2013,2,4,0,0,0,0.0,0.0,0,0,0.0
17,52.0,51.0,1907400.0,7650,6922,12284.0,0.0,867.0,6749.0,5410.0,B6,JetBlue Airways,13930,ORD  ,10721,BOS  ,694,2012,4,10,150,136,14,0.09,1.7,0,0,17.0
18,0.0,0.0,0.0,0,0,0.0,0.0,919.0,0.0,0.0,DL,Delta Air Lines Inc.,11066,CMH  ,11259,DAL  ,655,2013,1,3,0,0,0,0.0,0.0,0,0,0.0
19,53.0,53.0,1388600.0,5300,4530,403.0,0.0,228.0,4008.0,2420.0,B6,JetBlue Airways,12478,JFK  ,12264,IAD  ,678,2012,2,6,100,85,15,0.15,1.77,0,1,4.3
20,58.0,58.0,2169200.0,8700,6764,9415.0,0.0,1754.0,15449.0,13949.0,B6,JetBlue Airways,10721,BOS  ,11292,DEN  ,694,2012,2,5,150,117,33,0.22,1.93,1,1,30.24
